id,type,rating,dibl,dibu,song,episode,episodeID,episodeType,episodeLength,cleaned_rating,rating_numeric,dibl_copy,dibl_numeric
150,Cheesecake,1/5,1,0,You Make My Dreams Come True,Cheesecake Sausage,v_FYdtHX7sc,YouTube Comments Suggestions,01:00,1,1.0,1/5 Mark Ruffalos,1.0
151,Liver and Onions,3/5,0.5,1,"Signed Sealed Delivered I'm Yours, Keep It Comin' Love",Liver and Onions Sausage,u_pZrlv_IMw,Standard,04:20,3,3.0,0.5/5 Mark Ruffalos,0.5
152,Grilled Cheese and Tomato Soup,1.5/5,2,1,- No Song -,Grilled Cheese and Tomato Soup Sausage Live! / We are back!,DrTGqx4oZSM,Livestream Recording,20:37,1.5,1.5,2/5 Mark Ruffalos,2.0
153,Nachos Grande,2.5/5,2,1,"Karma Chameleon, Hold On Tight",Nachos Grande Sausage,Uif-91QyUpc,Standard,04:08,2.5,2.5,2/5 Mark Ruffalos,2.0
154,Sweet Baby Ray's BBQ Sauce,Disqualified,6,1,- No Song -,Sweet Baby Ray's BBQ Sauce Sausage,ygG4ObYvkCo,YouTube Comments Suggestions,01:00,Disqualified,,6/5 Mark Ruffalos,6.0
155,Salmon Coulibiac,1/5,Yes,0,"Knock On Wood, Rasputin",Salmon Coulibiac Sausage,WVeQT9OvIoc,Standard,04:08,1,1.0,Yes (No Rating),
156,Long John Silvers Fried Seafood Bonanza,3.5/5,1,1,Three Times A Lady,Long John Silvers Fried Seafood Bonanza Sausage,eXJCkkJgl-c,Standard,04:05,3.5,3.5,1/5 Mark Ruffalos,1.0
157,Earth,0/5,2,0,- No Song -,Earth Sausage,R-MWRl6VsaY,YouTube Comments Suggestions,01:00,0,0.0,2/5 Mark Ruffalos,2.0
158,IKEA Swedish Meatballs and Noodles,2.5/5,4,1,Witchcraft,IKEA Swedish Meatballs Sausage,ueUaPEJKBh0,Standard,04:24,2.5,2.5,4/5 Mark Ruffalos,4.0
159,"Boston Market (Chicken, Cornbread, Corn, Potatoes)",3.5/5,1,1,"Where Is My Mind, Go Down Moses",Boston Market Sausage,ZyVPo0Hmseo,Standard,04:34,3.5,3.5,1/5 Mark Ruffalos,1.0
160,Goldfish Crackers,0/5,4,1,- No Song -,Goldfish Crackers Sausage,liM1lW0W4TE,YouTube Comments Suggestions,01:00,0,0.0,4/5 Mark Ruffalos,4.0
161,Beef Bourguignon,3.5/5,5,0,"Movin’ On Up, California Love",Beef Bourguignon Sausage,H41SIej-WmU,Standard,05:37,3.5,3.5,5/5 Mark Ruffalos,5.0
162,Culver's Butterburger and Fried Cheese Curds,5/5,Yes,0,Call Me Maybe,I Turned Culver's ButterBurger and Fried Cheese Curds into a Sausage,YKDEwXpjixY,Standard,05:19,5,5.0,Yes (No Rating),
163,Pizza Lunchables,4/5,Not Done,0,- No Song -,Pizza Lunchables Sausage,EaRjfa3zOaY,YouTube Comments Suggestions,01:00,4,4.0,Not Done,
164,Six Types of Johnsonville Sausages,5/5,Yes,0,"Captain Planet Theme Song, One More Time, Died in Your Arms, Down with The Sickness",Johnsonville Sausage Medley Sausage,3CF03IFruyU,Standard,05:12,5,5.0,Yes (No Rating),
165,"McDonald's Bacon, Egg, and Cheese McGriddle",5/5,Yes,0,"The Wells Fargo Wagon, The Freshmaker Mentos Jingle","McDonald's Bacon, Egg, and Cheese McGriddle Sausage",KcoOFqc9_8c,Standard,04:12,5,5.0,Yes (No Rating),
166,Canned Sardines,0/5,5,0,- No Song -,Canned Sardines Sausage,fBoJFhijz3Y,YouTube Comments Suggestions,01:00,0,0.0,5/5 Mark Ruffalos,5.0
167,Charred Cookout and Johnsonville Medley Sausages,0.5/5,Not Done,1,- No Song -,A Very Moist Cookout Sausage Special,L_3OU9qWlUI,Collaboration,08:15,0.5,0.5,Not Done,
168,Street Tongue Tacos,3.5/5,Yes,0,Ring Of Fire,Street Tongue Tacos Sausage,FoIxoyIRN4Q,Standard,04:55,3.5,3.5,Yes (No Rating),
169,Popped Popcorn,0/5,5,0,- No Song -,Popcorn Sausage Revisited,yfn3TLqzamg,YouTube Comments Suggestions,01:00,0,0.0,5/5 Mark Ruffalos,5.0
170,Country Fried Steak,4.5/5,1,0,The Long and Winding Road,Country Fried Steak Sausage,HeAheiAk7V8,Standard,05:11,4.5,4.5,1/5 Mark Ruffalos,1.0
171,Lamb Kebabs and Stuffed Grape Leaves,4/5,4,0,Cats In The Cradle,Lamb Kebabs Sausage,y00eoJOT8gw,Standard,05:40,4,4.0,4/5 Mark Ruffalos,4.0
172,Mountain Dew and Doritos,0/5,4,1,- No Song -,Gamer Sausage: Mountain Dew and Doritos,KOfUvuY660o,YouTube Comments Suggestions,01:00,0,0.0,4/5 Mark Ruffalos,4.0
173,Crab Cake,3/5,3,0,Under The Sea,Crab Cake Sausage,WV7FIG95Gh4,Standard,06:23,3,3.0,3/5 Mark Ruffalos,3.0
174,Wawa Philly Cheesesteak,5/5,3,0,Seven Nation Army,Wawa Philly Cheesesteak Sausage,ONu0XXeyGp8,Standard,05:12,5,5.0,3/5 Mark Ruffalos,3.0
